175229894773440513,2010
186140562196398080,3840
170097273978617857,2410
229250926840381440,9335
239086802651054081,2820
234966657452343296,2035
153507094933274624,2500
221905671296253953,9090
266619781472452609,2250
310154655395086346,500
260093603278356483,6690
239106063817768961,1080
148868356605345792,1130
249428751065022475,2770
209686482900746242,4805
277380149572272128,940
308280006654689291,2690
299902486678863873,5560
108115172261928960,7990
320187631575105558,2460
238275842294284288,2940
240231883936497664,430
293135882926555137,3630
278920612116692993,610
315499915851857922,3140
198137282018934784,3515
172701398612312065,1230
178152766382931969,4700
200627281817763840,15725
285849019484471298,820
272362139623096320,3700
143717568773881866,2460
146295112501035008,1370
123620301706756096,4820
311535339158241280,3535
126429064218017802,4870
221629679507865600,6870
234667046993002496,2950
285510544532832258,345
318773753796624394,8180
257905689249185792,1575
328658403914285056,1620
334922238241406983,150
170815084271108096,1920
234332680802664448,1530
203208033449410561,1535
277179540764360714,350
327798480640802817,410
137252575211814912,3990
173838402226094080,3790
228888450147942400,3710
98719514908188672,2735
170828613841715203,230
286521349025955840,2755
132158928057401344,5340
288702741008744448,1120
324074476301975552,1760
333171017574907905,315
298050084367761408,2130
245636779183570957,200
307532836263428097,1080
180648937303048192,2720
275714969973161984,2510
290864757261598720,2095
224528662710452224,2375
292330963806060545,6930
234064588675612672,1170
285470267549941761,410
277430067221626898,1270
263681329990860800,680
338599310818279424,350
212601468174204928,990
137817150239801344,550
336880158617108480,80
108612242592784384,160
320288062171119627,40
272464741354438667,120
326066488060411906,20
187585469712826368,380
266341309910876162,240
206230808208474113,30
283609341519724545,80
133966627820535808,340
319479966183981056,10
173806902059204608,160
246924349297262592,110
170206278251970560,130
171975768463638528,90
170549063094108160,10
280809060100734978,210
